Артикул;Наименование;Номенклатура;Баркод;ТМ;20-February-2024;21-February-2024;22-February-2024;23-February-2024;24-February-2024;25-February-2024;26-February-2024;27-February-2024;28-February-2024;29-February-2024;01-March-2024;02-March-2024;03-March-2024;04-March-2024;05-March-2024;06-March-2024;07-March-2024;08-March-2024;09-March-2024;10-March-2024;11-March-2024;12-March-2024;13-March-2024;14-March-2024;15-March-2024;16-March-2024;17-March-2024;18-March-2024;19-March-2024;20-March-2024;21-March-2024;22-March-2024;23-March-2024;24-March-2024;25-March-2024;26-March-2024;27-March-2024;28-March-2024;29-March-2024;30-March-2024;31-March-2024;01-April-2024;02-April-2024;03-April-2024;04-April-2024;05-April-2024;06-April-2024;07-April-2024;08-April-2024;Остаток;Предмет;Процент комиссии;Стоимость логистики;Стоимость хранения;Себестоимость;Цена до скидки;Скидка;Цена;Комиссия в рублях;НДС;Налог на прибыль;Налог;Прибыль;Наценка;Процент налога
18309;Чехол для airpods 2 с карабином, черный;7490275;7432141050065;SS&Y Group;9;20;5;8;10;5;6;2;7;2;7;5;6;7;4;0;1;4;1;0;1;2;0;2;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Чехлы для наушников;23;54.0;0.32;50.42;1275.0;88.0;153;39.78;1.4666666666666686;1.2371666666666672;2.7038333333333355;4.948666666666662;9.81;1.7672113289760363
18310;Чехол для airpods 2 с карабином, красный;70089356;7432141559300;SS&Y Group;4;4;3;3;0;4;2;0;1;2;0;1;2;0;0;2;1;1;3;0;0;0;1;1;1;0;3;0;0;0;1;1;0;1;0;1;0;1;1;0;0;0;1;2;1;1;3;1;1;0;Чехлы для наушников;23;54.0;0.32;45.06;1082.0;89.0;119;30.939999999999998;-1.833333333333334;-2.011833333333336;-3.8451666666666697;-8.04733333333333;-17.86;-3.2312324929972016
18311;Чехол для Apple AirPods 2 с карабином, салатовый;70089357;7432141559303;SS&Y Group;2;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Чехлы для наушников;23;54.0;0.32;47.96;552.0;77.0;126;32.76;-1.4533333333333323;-1.6423333333333332;-3.0956666666666655;-6.569333333333341;-13.7;-2.456878306878306
18312;Чехол для airpods 2 с карабином, графитовый;70089358;7432141559306;SS&Y Group;2;1;1;1;0;0;0;0;1;0;2;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;Чехлы для наушников;23;54.0;0.32;50.42;741.0;83.0;125;32.5;-1.9866666666666672;-2.1741666666666677;-4.1608333333333345;-8.696666666666667;-17.25;-3.3286666666666673
18313;Чехол для airpods 2 с карабином, синий;70089359;7432141559309;SS&Y Group;7;7;2;1;8;2;3;6;3;5;5;2;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Чехлы для наушников;23;54.0;0.32;45.42;969.0;87.0;125;32.5;-1.1533333333333333;-1.3408333333333333;-2.4941666666666666;-5.363333333333335;-11.81;-1.9953333333333332
18314;Чехол для Apple AirPods 2 с карабином, ореховый;70089360;7432141559312;SS&Y Group;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Чехлы для наушников;23;54.0;0.32;45.72;504.0;74.0;131;34.06;-0.4633333333333347;-0.659833333333334;-1.1231666666666689;-2.639333333333332;-5.77;-0.8573791348600526
18701;Универсальное беспроводное зарядное устройство, черный;9982021;7432141949949;SS&Y Group;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Зарядные устройства;19;54.0;-0.15999999999999998;322.0;4385.0;84.0;701;154.22;28.463333333333352;27.411833333333334;55.875166666666686;109.64733333333331;34.05;7.9707798383262025
18704;Беспроводное зарядное устройство, белое;31212864;7432141550512;SS.Y;2;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;108;Зарядные устройства;19;54.0;0.32;270.0;4500.0;93.0;315;69.3;-13.050000000000002;-13.5225;-26.572500000000005;-54.08999999999999;-20.03;-8.435714285714287
18705;Беспроводное зарядное устройство, черное;31212865;7432141550514;SS.Y;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;1;0;Зарядные устройства;19;54.0;0.32;194.647717254636;5133.0;94.0;307;67.53999999999999;-1.5312862091059998;-1.9917862091060012;-3.523072418212001;-7.967144836423998;-4.09;-1.1475805922514661
18801;Переходник USB Type C;10017518;7432141949956;SS&Y Group;18;14;19;5;9;13;10;13;12;11;0;6;5;6;3;1;5;6;4;7;5;5;0;7;5;1;0;6;5;3;3;3;5;1;0;0;2;3;3;1;1;6;3;3;4;2;2;0;2;1170;Переходники;19;54.0;0.32;20.53;662.0;79.0;139;30.58;5.648333333333332;5.439833333333333;11.088166666666664;21.759333333333334;105.99;7.977098321342924
