Артикул;Наименование;Номенклатура;Баркод;ТМ;Статус;20-February-2024;21-February-2024;22-February-2024;23-February-2024;24-February-2024;25-February-2024;26-February-2024;27-February-2024;28-February-2024;29-February-2024;01-March-2024;02-March-2024;03-March-2024;26-February-03-March;04-March-2024;05-March-2024;06-March-2024;07-March-2024;08-March-2024;09-March-2024;10-March-2024;04-March-10-March;11-March-2024;12-March-2024;13-March-2024;14-March-2024;15-March-2024;16-March-2024;17-March-2024;11-March-17-March;18-March-2024;19-March-2024;20-March-2024;21-March-2024;22-March-2024;23-March-2024;24-March-2024;18-March-24-March;25-March-2024;26-March-2024;27-March-2024;28-March-2024;29-March-2024;30-March-2024;31-March-2024;25-March-31-March;01-April-2024;02-April-2024;03-April-2024;04-April-2024;05-April-2024;06-April-2024;07-April-2024;01-April-07-April;08-April-2024;     ;Остаток;Остатки FBS;Цена;Цена до скидки;Наценка;Остаток на РЦ;Остаток РЦ Иркутск;В резерве;                                  ;Остаток в Невинномысске;Наценка_Невинномысск_монопалета;Остаток в Екатеринбург - Испытателей 14г;Остаток в Екатеринбург - Перспективный 12;Остаток в Новосибирске;          ;Стоимость логистики;Выручка;Доля выручки;Итого наценка;Цена_Товары для акции_Распродажа неходового товара_идет;Наценка_Товары для акции_Распродажа неходового товара_идет;Цена_Товары для акции_СКИДКИ ПРОСТО КОСМОС_идет;Наценка_Товары для акции_СКИДКИ ПРОСТО КОСМОС_идет;Спринт вб;Спринт озон;Новый баркод;Разница в цене предыдущего дня;Стандартное отклонение цен за последние 7 дней;Стандартное отклонение цен за последние 3 дня;Отличие максимальной цены от минимальной за 3 дня;Склад_Иркутск;Склад_Омск;ПСР;Склад_Поставщик_Химки;статус рекламы;прибыль с единицы товара;Коледино 10.11;Электросталь 3.11;Екатеринбург 20.11;Екат доп;Краснодар 13.11;Шушары 8.11
17005;Планировщик бюджета розовый;158667761.0;4632422614891.0;Parchment;текущий Дарья;5;4;8;7;1;2;7;4;2;4;5;2;7;31;3;3;1;4;3;4;4;22;2;4;4;3;4;5;2;24;2;7;6;4;6;5;8;38;6;6;6;6;4;4;5;37;2;8;5;2;3;1;3;24;2;     ;370;0.0;1009.0;1870.0;101.56;2.0;4.0;;;0.0;101.89;;;;;54.0;2018.0;0.0936565117265564;;;;886.0;79.6;;;;;;;;0.0;;0.0;0.0;;307.61;;;;;;
17006;Планировщик бюджета бирюзовый;158667762.0;4632503524019.0;Parchment;текущий Дарья;5;6;5;5;4;3;10;2;6;4;6;3;2;33;3;3;3;3;4;5;5;26;5;3;1;2;7;2;5;25;6;5;8;3;2;4;4;32;6;2;5;4;3;8;1;29;3;5;1;6;0;2;0;17;1;     ;271;0.0;1009.0;1870.0;101.56;3.0;3.0;;;0.0;101.89;;;;;54.0;1009.0;0.0468282558632782;;;;886.0;79.6;;;;;;;;0.0;;0.0;0.0;;307.61;;;;;;
17007;Планировщик бюджета чёрный;158667763.0;4632590578704.0;Parchment;текущий Дарья;4;5;7;3;3;6;2;3;0;3;1;3;2;14;1;1;3;1;1;1;2;10;1;5;2;4;1;0;0;13;3;4;6;3;3;3;4;26;1;1;4;7;1;8;4;26;5;7;3;2;2;0;1;20;4;     ;149;0.0;1029.0;2191.0;105.13;4.0;3.0;;;0.0;105.46;;;;;54.0;4116.0;0.19102586831838758;;;;967.0;94.06;;ТЗ 20 (28.08-6.09);;;;;;0.0;;0.0;0.0;;318.42;;;;;;
17008;Шариковая ручка с флешкой;165768123.0;4647292705501.0;Parchment;текущий Дарья;6;4;5;4;8;4;3;5;2;5;2;1;2;20;3;4;1;6;0;0;0;14;3;3;0;0;0;1;0;7;0;1;1;0;1;0;0;3;1;0;2;0;1;0;1;5;0;0;0;0;1;0;2;3;0;     ;265;0.0;869.0;1101.0;54.81;3.0;6.0;;;0.0;55.09;;;;;54.0;0.0;0.0;;;;826.0;48.3;;ТЗ 30 (16.10 - 25.10);;;;;;0.0;;0.0;0.0;;195.75;;;;;;
17009;Папка-органайзер;165873061.0;4647842467538.0;Parchment;текущий Дарья;0;0;0;0;0;0;0;2;1;2;0;1;1;7;0;0;0;0;0;1;0;1;0;0;1;2;0;0;0;3;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;     ;0;1.0;2400.0;2824.0;127.35;17.0;3.0;1.0;;0.0;133.45;;;;;104.4;0.0;0.0;;;;;;;ТЗ 34 (21.11-01.12);;;;;;0.0;;;1.0;;722.02;;;;;69.0;69.0
17010;Набор маркеров с фигурными линиями 6 шт;152242288.0;4616138630819.0;Parchment;текущий Дарья;11;8;9;3;3;4;4;8;13;13;25;10;17;90;14;14;12;8;1;5;4;58;4;1;3;0;0;3;1;12;3;3;4;0;4;1;1;16;3;5;2;1;0;0;1;12;0;3;1;0;1;0;0;5;0;     ;481;16.0;484.0;577.0;100.98;230.0;;;;0.0;101.72;;;;;54.0;0.0;0.0;;;;366.0;53.59;;ТЗ 10 (10.07-19.07);;;;;;0.0;;0.0;16.0;приостановлена;135.94;;;;;;
17011;Набор маркеров с фигурными линиями 8 шт;152242281.0;4616255703915.0;Parchment;текущий Дарья;11;14;6;9;6;15;8;9;13;17;20;26;22;115;21;12;10;3;5;6;7;64;3;3;6;3;6;5;2;28;4;1;1;2;0;0;5;13;0;2;2;1;0;3;0;8;3;1;0;0;1;0;1;6;2;     ;284;1.0;622.0;715.0;100.74;8.0;;;;0.0;101.3;0.0;1.0;0.0;;54.0;1244.0;0.05773473765502288;;;;530.0;73.01;ТЗ 15 (10.08-23.08);ТЗ 10 (10.07-19.07);;;;;;0.0;;0.0;1.0;;180.71;;;;;;
17012;Набор фломастеров яркий;152242763.0;4618132851566.0;Parchment;текущий Дарья;7;4;3;8;8;11;5;5;10;6;5;9;4;44;1;3;4;3;3;1;6;21;6;3;7;6;8;1;2;33;1;4;5;3;1;5;2;21;1;4;4;1;3;3;0;16;1;1;3;0;1;3;3;12;1;     ;821;13.0;194.0;511.0;103.14;180.0;;;;0.0;105.6;;;;;54.0;194.0;0.00900364879829135;;;;160.0;57.83;ТЗ 15 (10.08-23.08);ТЗ 10 (10.07-19.07);;;;;;0.0;;;13.0;;41.84;;;;;;
17013;Набор фломастеров пастельный;152242764.0;4616390676167.0;Parchment;текущий Дарья;8;4;4;6;6;6;3;8;4;9;9;7;17;57;9;10;8;5;12;4;7;55;10;11;9;10;4;7;4;55;7;12;7;4;6;4;5;45;8;5;4;2;3;2;3;27;4;2;2;2;1;3;1;15;1;     ;446;286.0;204.0;537.0;104.21;2394.0;1707.0;4.0;;0.0;106.51;0.0;235.0;0.0;;54.0;204.0;0.009467754406450696;;;;160.0;49.49;;ТЗ 10 (10.07-19.07);;;;;;119.0;;0.0;167.0;;45.31;;;;;;
17015;Органайзер для канцелярии белый;153319076.0;4618924943325.0;Parchment;текущий Дарья;11;28;7;14;18;14;8;8;13;7;10;11;16;73;14;2;1;1;1;3;0;22;1;2;1;0;2;2;0;8;3;1;0;1;0;0;0;5;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;     ;0;51.0;1040.0;1625.0;162.06;1.0;723.0;;;0.0;178.12;;;;;104.4;0.0;0.0;;;;949.0;139.22;;;;;;;;51.0;;;0.0;;349.09;;;;;;
